[log]nombre;formateado;real
[21:54:33  +0000]G4;00:32:827;32.827549
[21:56:29  +0000]RoboHunters;00:08:259;8.259941
[21:57:14  +0000]RoboHunters;00:06:446;6.446955
[21:58:08  +0000]RoboHunters;00:05:462;5.462474
[22:00:15  +0000]Trackino;01:03:363;63.363040
[22:01:43  +0000]Trackino;00:56:919;56.919424
[22:03:04  +0000]Trackino;00:49:432;49.432410
[22:05:56  +0000]CRU;01:05:362;65.362291
[22:08:03  +0000]CRU;01:13:071;73.071388
[22:10:00  +0000]CRU;01:19:193;79.193687
[22:11:15  +0000]ICARO 3;00:04:075;4.075935
[22:12:40  +0000]Alto Delay;00:14:830;14.830933
[22:14:03  +0000]Alto Delay;00:46:807;46.807824
[22:15:35  +0000]Alto Delay;00:49:867;49.867555
[22:17:13  +0000]Dubot runner;00:04:513;4.513242
[22:18:41  +0000]Dubot runner;00:59:366;59.366198
[22:20:27  +0000]Dubot runner;01:02:889;62.889661
[22:22:29  +0000]Lightracers;00:55:110;55.110654
[22:23:58  +0000]Lightracers;00:57:091;57.091038
