[log]nombre;formateado;real
[18:07:53  +0000]GTF Robot;00:14:354;14.354734
[18:09:32  +0000]GTF Robot;00:33:606;33.606984
[18:10:55  +0000]GTF Robot;00:13:154;13.154216
[18:14:37  +0000]G4;00:53:709;53.709558
[18:15:29  +0000]G4;00:19:396;19.396341
[18:16:58  +0000]G4;00:17:785;17.785371
[18:22:27  +0000]CRU;00:15:450;15.450520
[18:23:36  +0000]CRU;00:17:902;17.902926
[18:24:35  +0000]CRU;00:13:440;13.440498
[18:27:17  +0000]Los super poxicos;00:14:889;14.889824
[18:28:25  +0000]Los super poxicos;00:50:521;50.521470
[18:29:01  +0000]Los super poxicos;00:13:315;13.315195
[18:30:42  +0000]Fabfast;00:17:348;17.348423
[18:31:18  +0000]Fabfast;00:13:188;13.188535
[18:31:54  +0000]Fabfast;00:12:564;12.564975
[18:34:47  +0000]Icaro 1;02:03:938;123.938795
[18:36:14  +0000]Icaro 1;00:38:013;38.013247
[18:37:35  +0000]Jaguerbot;00:04:380;4.380097
[18:38:00  +0000]Jaguerbot;00:04:992;4.992015
[18:38:32  +0000]Jaguerbot;00:07:381;7.381921
[18:40:19  +0000]Team Tesla;00:25:675;25.675076
[18:41:11  +0000]Team Tesla;00:26:002;26.002803
[18:42:21  +0000]Team Tesla;00:23:074;23.074826
[18:46:33  +0000]TYR ROBOTICS;00:19:494;19.494971
[18:47:50  +0000]TYR ROBOTICS;00:10:660;10.660150
[18:48:55  +0000]TYR ROBOTICS;00:12:870;12.870134
[18:51:00  +0000]Dubot runner;00:22:243;22.243416
[18:51:56  +0000]Dubot runner;00:25:598;25.598159
[18:53:21  +0000]Dubot runner;00:26:006;26.006921
[18:57:07  +0000]Scuderia Robotic;00:56:145;56.145035
[18:57:43  +0000]Scuderia Robotic;00:10:088;10.088387
[18:59:22  +0000]Scuderia Robotic;01:11:836;71.836356
[19:02:40  +0000]Lightracers;00:37:494;37.494811
[19:03:59  +0000]Lightracers;00:37:069;37.069528
[19:04:32  +0000]Lightracers;00:07:557;7.557714
[19:06:57  +0000]ICARO 3;00:47:280;47.280957
[19:10:29  +0000]ICARO 3;01:01:213;61.213458
[19:12:23  +0000]RoboHunters;00:17:727;17.727843
[19:13:08  +0000]RoboHunters;00:12:420;12.420816
[19:13:38  +0000]RoboHunters;00:00:245;0.245281
[19:16:21  +0000]Trackino;00:23:011;23.011305
[19:17:50  +0000]Trackino;00:33:378;33.378522
[19:19:17  +0000]Trackino;00:32:561;32.561040
