[log]nombre;formateado;real
[16:16:44  +0000]Scuderia Robotic;01:10:115;70.115618
[16:18:24  +0000]Scuderia Robotic;01:02:674;62.674844
[16:20:22  +0000]Scuderia Robotic;01:01:589;61.589425
[16:23:07  +0000]TYR ROBOTICS;01:22:498;82.498112
[16:25:25  +0000]TYR ROBOTICS;01:23:909;83.909879
[16:28:05  +0000]TYR ROBOTICS;02:00:779;120.779008
[16:30:57  +0000]Icaro 1;01:32:073;92.073024
[16:32:29  +0000]Icaro 1;01:17:507;77.507114
[16:32:59  +0000]Icaro 1;00:01:905;1.905316
[16:35:36  +0000]Fabfast;01:39:883;99.883797
[16:37:51  +0000]Fabfast;01:40:133;100.133263
[16:40:05  +0000]G4;01:10:957;70.957485
[16:42:12  +0000]G4;01:10:976;70.976358
[16:44:46  +0000]Trackino;00:47:571;47.571985
[16:45:51  +0000]Trackino;00:41:767;41.767978
[16:46:59  +0000]Trackino;00:37:858;37.858293
[16:49:52  +0000]CRU;00:27:136;27.136174
[16:51:15  +0000]CRU;00:46:263;46.263447
[16:52:33  +0000]CRU;00:21:456;21.456100
