[log]nombre;formateado;real
[21:39:07  +0000]Three Laws;00:39:953;39.953189
[21:39:44  +0000]Three Laws;00:16:026;16.026729
[21:40:04  +0000]Three Laws;00:05:900;5.900967
[21:42:58  +0000]GTF Robot;01:13:081;73.081492
[21:43:49  +0000]GTF Robot;00:12:665;12.665975
[21:44:46  +0000]GTF Robot;00:25:406;25.406804
[21:46:28  +0000]G4;00:18:476;18.476882
[21:47:39  +0000]G4;00:19:275;19.275031
[21:50:00  +0000]G4;00:27:542;27.542209
