[log]nombre;formateado;real
[22:26:30  +0000]Lightracers;00:56:717;56.717754
[22:28:12  +0000]Lightracers;00:58:229;58.229758
[22:31:59  +0000]Team Tesla;02:29:104;149.104198
[22:33:36  +0000]Team Tesla;00:31:959;31.959314
[22:35:37  +0000]Scuderia Robotic;00:55:640;55.640834
[22:37:14  +0000]Scuderia Robotic;00:58:133;58.133444
[22:39:01  +0000]Scuderia Robotic;00:58:212;58.212938
[22:40:45  +0000]CRU;00:04:313;4.313584
[22:42:14  +0000]CRU;00:59:451;59.451311
[22:44:16  +0000]TYR ROBOTICS;00:26:451;26.451297
[22:47:33  +0000]TYR ROBOTICS;02:33:367;153.367132
[22:50:19  +0000]Los super poxicos;00:31:979;31.979787
[22:51:05  +0000]Los super poxicos;00:16:979;16.979443
[22:51:53  +0000]Los super poxicos;00:15:745;15.745896
[23:06:17  +0000]Icaro 1;12:49:887;769.887079
[23:10:07  +0000]Fabfast;01:47:505;107.505054
[23:13:10  +0000]Fabfast;01:47:472;107.472905
[23:16:10  +0000]Fabfast;01:48:032;108.032003
[23:18:20  +0000]Jaguerbot;01:28:316;88.316865
[23:20:20  +0000]Jaguerbot;01:30:927;90.927960
[23:21:16  +0000]G4;00:20:943;20.943089
[23:27:09  +0000]Fabfast;00:41:102;41.102436
